,ID,Label,Score,JSON,Classifier_ID,URL,TopLevel,MiddleLevel,BottomLevel
0,04003000,"economy, business and finance>computing and information technology",0.5851,"{'id': 0, 'classifierId': 'textrazor_newscodes', 'categoryId': '04003000', 'label': 'economy, business and finance>computing and information technology', 'score': 0.5851}",textrazor_newscodes,https://music.youtube.com/watch?v=Y-Wqna-hC2Y&list=PLtcIogydu_Bocl0B4w5EMFR6oDWsBC5Z0,"economy, business and finance",computing and information technology,
1,01027000,"arts, culture and entertainment>internet",0.551,"{'id': 1, 'classifierId': 'textrazor_newscodes', 'categoryId': '01027000', 'label': 'arts, culture and entertainment>internet', 'score': 0.551}",textrazor_newscodes,https://music.youtube.com/watch?v=Y-Wqna-hC2Y&list=PLtcIogydu_Bocl0B4w5EMFR6oDWsBC5Z0,"arts, culture and entertainment",internet,
2,04003005,"economy, business and finance>computing and information technology>software",0.5256,"{'id': 2, 'classifierId': 'textrazor_newscodes', 'categoryId': '04003005', 'label': 'economy, business and finance>computing and information technology>software', 'score': 0.5256}",textrazor_newscodes,https://music.youtube.com/watch?v=Y-Wqna-hC2Y&list=PLtcIogydu_Bocl0B4w5EMFR6oDWsBC5Z0,"economy, business and finance",computing and information technology,software
3,13022000,science and technology>it/computer sciences,0.4508,"{'id': 3, 'classifierId': 'textrazor_newscodes', 'categoryId': '13022000', 'label': 'science and technology>it/computer sciences', 'score': 0.4508}",textrazor_newscodes,https://music.youtube.com/watch?v=Y-Wqna-hC2Y&list=PLtcIogydu_Bocl0B4w5EMFR6oDWsBC5Z0,science and technology,it/computer sciences,
4,13010000,science and technology>technology (general),0.4508,"{'id': 4, 'classifierId': 'textrazor_newscodes', 'categoryId': '13010000', 'label': 'science and technology>technology (general)', 'score': 0.4508}",textrazor_newscodes,https://music.youtube.com/watch?v=Y-Wqna-hC2Y&list=PLtcIogydu_Bocl0B4w5EMFR6oDWsBC5Z0,science and technology,technology (general),
5,01002000,"arts, culture and entertainment>architecture",0.4508,"{'id': 5, 'classifierId': 'textrazor_newscodes', 'categoryId': '01002000', 'label': 'arts, culture and entertainment>architecture', 'score': 0.4508}",textrazor_newscodes,https://music.youtube.com/watch?v=Y-Wqna-hC2Y&list=PLtcIogydu_Bocl0B4w5EMFR6oDWsBC5Z0,"arts, culture and entertainment",architecture,
6,01011000,"arts, culture and entertainment>music",0.4411,"{'id': 6, 'classifierId': 'textrazor_newscodes', 'categoryId': '01011000', 'label': 'arts, culture and entertainment>music', 'score': 0.4411}",textrazor_newscodes,https://music.youtube.com/watch?v=Y-Wqna-hC2Y&list=PLtcIogydu_Bocl0B4w5EMFR6oDWsBC5Z0,"arts, culture and entertainment",music,
7,01021000,"arts, culture and entertainment>entertainment (general)",0.4411,"{'id': 7, 'classifierId': 'textrazor_newscodes', 'categoryId': '01021000', 'label': 'arts, culture and entertainment>entertainment (general)', 'score': 0.4411}",textrazor_newscodes,https://music.youtube.com/watch?v=Y-Wqna-hC2Y&list=PLtcIogydu_Bocl0B4w5EMFR6oDWsBC5Z0,"arts, culture and entertainment",entertainment (general),
8,13000000,science and technology,0.4056,"{'id': 8, 'classifierId': 'textrazor_newscodes', 'categoryId': '13000000', 'label': 'science and technology', 'score': 0.4056}",textrazor_newscodes,https://music.youtube.com/watch?v=Y-Wqna-hC2Y&list=PLtcIogydu_Bocl0B4w5EMFR6oDWsBC5Z0,science and technology,,
